item_id,date,p10,p50,p90
15,2018-01-01,514.9176025,554.468689,585.7401123
15,2018-01-02,628.3416138,660.1744995,689.619751
15,2018-01-03,623.27771,653.109375,683.6199341
15,2018-01-04,669.3087769,703.2890625,737.1410522
15,2018-01-05,706.147644,740.9510498,770.4783325
15,2018-01-06,757.8509521,789.1080933,830.3511963
15,2018-01-07,788.7384033,831.8700562,866.1524048
15,2018-01-08,533.3706665,560.6524658,592.1298218
15,2018-01-09,623.9904175,657.4315186,702.0341187
15,2018-01-10,619.9918213,647.9622803,684.4174805
15,2018-01-11,661.7420044,688.7506104,732.1438599
15,2018-01-12,699.2286377,737.93396,774.2374268
15,2018-01-13,752.9241943,789.0415649,829.7244873
15,2018-01-14,785.647644,826.1759033,868.8666992
15,2018-01-15,527.8911743,559.0831299,586.286499
15,2018-01-16,628.7924194,654.4785156,683.807312
15,2018-01-17,591.4070435,637.3695068,664.4273071
15,2018-01-18,654.322876,689.0516968,717.2371826
15,2018-01-19,693.6603394,727.9855347,766.2678223
15,2018-01-20,734.3904419,778.085022,813.0491943
15,2018-01-21,765.7714844,810.7941284,848.1530762
15,2018-01-22,518.9710693,544.0332642,577.9376831
15,2018-01-23,618.5093994,644.0631714,674.9006348
15,2018-01-24,603.2988281,633.0621948,662.3070068
15,2018-01-25,645.0808716,676.0287476,710.3641357
15,2018-01-26,681.9695435,715.062561,744.592041
15,2018-01-27,728.6275635,765.1213379,798.2921143
15,2018-01-28,758.8197632,801.5132446,842.0423584
15,2018-01-29,514.4398193,540.3797607,572.4962769
15,2018-01-30,599.8441772,635.6564331,666.5577393
15,2018-01-31,588.1973877,630.3204956,668.7330322
15,2018-02-01,722.2225952,759.8082275,801.8114014
15,2018-02-02,777.8719482,808.0396729,842.5231323
15,2018-02-03,822.1605225,857.6781006,901.4052734
15,2018-02-04,858.2128296,900.1471558,950.1358032
15,2018-02-05,572.0681152,599.1115723,639.1958008
28,2018-01-01,522.4934692,561.8914185,593.0397339
28,2018-01-02,632.9341431,665.6561279,695.6270752
28,2018-01-03,624.4537354,654.4866943,685.4832764
28,2018-01-04,675.5419922,709.7254028,743.7772827
28,2018-01-05,712.7867432,748.4327393,779.1720581
28,2018-01-06,765.8449097,796.8066406,837.845459
28,2018-01-07,803.4317017,847.6674194,882.350647
28,2018-01-08,534.4239502,561.9789429,594.1300659
28,2018-01-09,623.4284058,656.8501587,701.7296143
28,2018-01-10,621.4698486,649.8388062,686.6726685
28,2018-01-11,668.3190918,696.2873535,741.1845093
28,2018-01-12,704.4641113,745.4397583,782.6303101
28,2018-01-13,754.7205811,791.3748779,832.5935059
28,2018-01-14,789.1182251,829.5912476,872.4492188
28,2018-01-15,525.3085938,557.0450439,584.7319946
28,2018-01-16,627.7316284,653.6872559,683.6356812
28,2018-01-17,594.7442017,642.0326538,669.8446655
28,2018-01-18,659.7188721,694.8057861,722.9533691
28,2018-01-19,698.1936646,733.2630005,771.9686279
28,2018-01-20,737.6529541,781.7493286,816.1380005
28,2018-01-21,766.6220093,811.5856934,849.5032349
28,2018-01-22,519.3519897,544.6801147,578.6339111
28,2018-01-23,619.5116577,645.4625854,677.0360718
28,2018-01-24,607.2937012,637.8920288,668.1178589
28,2018-01-25,655.37323,686.7575684,721.9089355
28,2018-01-26,690.2685547,723.6133423,753.4622803
28,2018-01-27,738.4547729,775.5408325,809.2740479
28,2018-01-28,761.6077271,804.9393311,845.9051514
28,2018-01-29,521.0507813,547.102478,579.336853
28,2018-01-30,603.4226074,639.9266357,671.3816528
28,2018-01-31,592.2207031,634.8164063,673.9420166
28,2018-02-01,722.8776245,761.2805176,804.586731
28,2018-02-02,775.1633911,805.2596436,840.2062988
28,2018-02-03,819.0423584,854.6568604,898.2891846
28,2018-02-04,858.9892578,901.9569702,952.5768433
28,2018-02-05,567.6751709,595.4779663,636.2827759
22,2018-01-01,470.3413086,508.1867065,538.1178589
22,2018-01-02,579.9853516,610.5048218,638.6710205
22,2018-01-03,563.553833,592.1166382,621.326416
22,2018-01-04,608.53125,640.8623047,673.0615845
22,2018-01-05,653.118042,686.3110962,714.7269287
22,2018-01-06,700.1399536,729.9868774,769.3371582
22,2018-01-07,730.5087891,771.8112793,804.6028442
22,2018-01-08,485.7124329,510.9180603,540.5845337
22,2018-01-09,570.1226807,601.6253052,643.7075195
22,2018-01-10,568.5683594,595.5703735,631.0253906
22,2018-01-11,608.177124,634.1271973,675.8956909
22,2018-01-12,639.5545044,676.5390625,710.9886475
22,2018-01-13,684.1258545,719.3223267,759.0859985
22,2018-01-14,718.1858521,757.2955933,798.6351929
22,2018-01-15,478.6587219,508.7663574,534.9815674
22,2018-01-16,569.348999,593.119751,621.2788086
22,2018-01-17,537.805542,582.5628052,608.8579102
22,2018-01-18,595.7876587,628.8178711,655.4243164
22,2018-01-19,633.1271973,666.1394653,703.2763672
22,2018-01-20,668.545105,710.2714233,744.2994385
22,2018-01-21,703.6286621,747.2872925,783.7650757
22,2018-01-22,469.5668945,493.5617676,525.2538452
22,2018-01-23,564.4900513,589.0675659,618.4421387
22,2018-01-24,549.2755127,577.8153687,606.335144
22,2018-01-25,590.0166016,619.8372192,653.3371582
22,2018-01-26,622.5340576,653.8734741,682.0110474
22,2018-01-27,668.0653076,702.5722046,734.4509888
22,2018-01-28,700.3590088,742.0049438,781.2820435
22,2018-01-29,469.4779968,494.4072876,525.0211792
22,2018-01-30,551.131958,584.355835,613.2579956
22,2018-01-31,539.3110352,579.668335,616.3088989
22,2018-02-01,655.7003174,691.565979,731.8375244
22,2018-02-02,704.630188,732.9978027,765.7045288
22,2018-02-03,745.8654175,778.9430542,820.713623
22,2018-02-04,779.451416,819.9699097,866.8872681
22,2018-02-05,517.2988892,543.4863281,581.958313
4,2018-01-01,125.1765137,142.9244385,156.9783325
4,2018-01-02,152.8476715,166.9394836,179.9872131
4,2018-01-03,150.0014038,162.7772827,175.9584503
4,2018-01-04,160.1048431,175.0054932,189.660141
4,2018-01-05,167.8040314,182.8666229,195.6843872
4,2018-01-06,183.2989349,196.6774597,214.1813049
4,2018-01-07,186.076355,205.5843811,221.0549469
4,2018-01-08,124.4691086,136.6348572,150.7687988
4,2018-01-09,148.0344391,162.3148041,181.84758
4,2018-01-10,150.9435425,163.3907013,179.9315491
4,2018-01-11,159.2572327,171.4399414,191.1860352
4,2018-01-12,166.0827484,182.829361,198.0980377
4,2018-01-13,180.6674957,196.7541351,215.0682373
4,2018-01-14,185.1070862,204.1529083,224.434021
4,2018-01-15,124.7485275,138.6485901,150.8499603
4,2018-01-16,151.0821075,161.8971863,175.0236053
4,2018-01-17,137.3031158,157.3370361,169.6811829
4,2018-01-18,155.6809082,171.1505127,183.7379761
4,2018-01-19,167.1748962,182.281311,199.621521
4,2018-01-20,177.3212891,196.7755585,212.7633057
4,2018-01-21,183.2564697,204.0489197,221.3638306
4,2018-01-22,124.1028061,135.2203369,149.9395294
4,2018-01-23,150.5535889,161.9835358,176.359375
4,2018-01-24,145.047226,158.0342865,171.1813049
4,2018-01-25,154.9794617,168.2554779,183.3597717
4,2018-01-26,161.0696716,175.5326385,188.5686035
4,2018-01-27,173.0101624,189.5541229,204.7321167
4,2018-01-28,178.60849,198.2291412,217.0479889
4,2018-01-29,122.7771835,134.1276093,147.649353
4,2018-01-30,142.9610596,158.9020081,172.4013519
4,2018-01-31,137.3278656,156.1035309,173.6414795
4,2018-02-01,175.1328735,191.4889374,209.9563904
4,2018-02-02,190.6909332,204.2877502,219.1097717
4,2018-02-03,199.0469513,213.8898926,233.8324127
4,2018-02-04,205.3954926,224.0836029,246.5036774
4,2018-02-05,135.9824371,147.9957275,165.2304535
37,2018-01-01,162.9651031,180.267868,193.5780334
