item_id,date,p10,p50,p90
15,2018-01-01,537.1152954,581.7840576,692.7299805
15,2018-01-02,616.1686401,655.9902344,698.7243652
15,2018-01-03,619.8927612,658.5464478,703.9366455
15,2018-01-04,661.951416,706.7928467,753.9140625
15,2018-01-05,681.5516968,730.7027588,790.7501221
15,2018-01-06,768.0476685,811.9360352,867.9800415
15,2018-01-07,703.263855,826.1325073,879.6364746
15,2018-01-08,534.8205566,562.8790894,664.2396851
15,2018-01-09,612.9660034,651.3535767,701.7057495
15,2018-01-10,628.4587402,652.1091919,707.0498657
15,2018-01-11,669.2497559,708.7045288,763.868042
15,2018-01-12,694.1528931,735.5718994,801.2050781
15,2018-01-13,762.7315674,803.3068237,878.1451416
15,2018-01-14,789.9502563,826.9271851,885.0092163
15,2018-01-15,536.7810669,562.6422729,672.9953613
15,2018-01-16,621.8024292,654.8102417,703.567749
15,2018-01-17,613.189209,653.4963379,710.9087524
15,2018-01-18,660.592041,697.2567749,773.7072144
15,2018-01-19,677.9332886,725.9954834,809.607666
15,2018-01-20,753.156311,804.1589355,883.4786987
15,2018-01-21,753.289917,813.2086792,910.0016479
15,2018-01-22,530.6685181,566.607666,653.2857666
15,2018-01-23,606.0562134,644.2845459,713.7493286
15,2018-01-24,588.4684448,641.1339111,717.2241211
15,2018-01-25,648.0025024,700.4317017,772.1206055
15,2018-01-26,667.7835693,719.4978638,810.8026733
15,2018-01-27,718.1177979,788.9682007,879.7043457
15,2018-01-28,705.4760132,788.0296631,895.8330078
15,2018-01-29,505.3695068,548.8284302,677.8913574
15,2018-01-30,588.7911377,629.1356201,721.5186768
15,2018-01-31,572.5670166,627.9141846,703.5490112
15,2018-02-01,616.9286499,674.1841431,763.5728149
15,2018-02-02,635.9042358,695.1405029,797.1806641
15,2018-02-03,698.6074219,766.269043,860.7295532
15,2018-02-04,703.6531982,763.9592285,883.84021
15,2018-02-05,491.9165039,528.4771118,664.3600464
28,2018-01-01,535.3285522,588.0791016,700.3779907
28,2018-01-02,634.4616699,675.2531738,717.8464966
28,2018-01-03,638.2714844,685.7401123,726.8691406
28,2018-01-04,691.9393311,734.4220581,785.7268066
28,2018-01-05,728.7039795,787.583313,849.2578735
28,2018-01-06,770.96521,819.458374,884.9115601
28,2018-01-07,710.0471802,844.3070679,903.8482056
28,2018-01-08,536.1685181,573.0006104,671.7407227
28,2018-01-09,615.6281128,667.5712891,722.1559448
28,2018-01-10,631.3294678,667.6429443,723.8842773
28,2018-01-11,688.052124,736.0726318,794.6679077
28,2018-01-12,716.0759277,775.234436,844.2172241
28,2018-01-13,746.3632202,807.3002319,892.854248
28,2018-01-14,781.4688721,846.5284424,904.7640381
28,2018-01-15,512.0031738,563.3277588,682.0916748
28,2018-01-16,606.9396362,662.9927368,717.8065796
